SUBJECT,STRM,CATALOG_NBR,ACAD_CAREER,CLASS_ATTRIBUTES,CLASS_ATTRIBUTE_VALUES,COURSE_TITLE,DESCRLONG,UNITS,ENROLL_REQUIREMENTS,OFFERED
LIT,1218,499,UGRD,Liberal Learning Domains|Writing Intensive,"Literary, Visual & Performing Arts|Writing Intensive",LIT 499 - SEMINAR IN RESEARCH AND THEORY,"Small classes that focus on specific topics in literary or linguistic research and theory.  Formal seminar presentations and several papers, including completion of a major research essay.  To be taken twice by English majors - once in the junior, and once in the senior year.",1,LIT 101 and LIT 102 are prerequisites.  [RQ#6375],Fall and Spring
LNG,1218,201,UGRD,Writing Intensive,Writing Intensive,LNG 201 - INTRODUCTION TO ENGLISH,"An introduction to linguistics intended to meet the needs of students planning to teach younger children or with an interest in cognitive science, this course includes topics in phonology, morphology, syntax, semantics, psycholinguistics, language acquisition, social variation, and historical linguistics.",1,Reserved for English Majors and WLC215 is an anti-requisite.  [RQ691],Fall and Spring
LNG,1218,202,UGRD,Liberal Learning Domains|Writing Intensive,Social Change in Historical Perspectives|Writing Intensive,LNG 202 - STRUCTURE & HISTORY OF THE ENGLISH LANGUAGE,"An introduction to both the structure and development of English as a spoken and written language intended to meet the needs of future secondary teachers and students of literature or language, this course introduces basic linguistic concepts and examines English's linguistic history from Proto-Indo-European (c.3000 BC) to Present-Day English.",1,Reserved for English Majors [RQ690],Spring
MAT,1218,101,UGRD,Liberal Learning Domains,Quantitative Reasoning,MAT 101 - APPLIED LIBERAL ARTS MATHEMATICS,"A liberal arts course covering applied topics in modern mathematics. Topics include graph theory, coding, voting and social choice, and game theory.",1,,Fall and Spring
MAT,1218,102,UGRD,Liberal Learning Domains,Quantitative Reasoning,MAT 102 - MATHEMATICS FOR THE LIBERAL ARTS,"A liberal arts course covering topics in modern mathematics. Topics include logic, sets, combinatorial probability, abstract mathematical systems, and number theory.",1,,Fall and Spring
MAT,1218,105,UGRD,Liberal Learning Domains,Quantitative Reasoning,MAT 105 - MATH STRUC & ALGORITHMS FOR ED I,"This course concerns the development of number systems, algebraic structures, and algorithms. The student will be required to reason mathematically, solve problems, and communicate mathematics effectively at different levels of formality, using a variety of representations of mathematical concepts and procedures. Physical materials and models will be used to explore fundamental properties of number systems, to model algorithms, and to explore selected algebraic structures. This course is especially appropriate for those students preparing to be elementary, early childhood, deaf and hard of hearing, or special education teachers.",1,"Reserved for School of Education Students only, elementary and early childhood majors, including Urban Education majors.  [RQ613]",Fall and Spring
MAT,1218,106,UGRD,Liberal Learning Domains,Quantitative Reasoning,MAT 106 - MATH STRUC & ALGORITHMS ED II,"Physical materials and models will be used to explore fundamental concepts of geometry, measurement, data analysis, statistics, and probability. The student will be required to reason mathematically, solve problems, and communicate mathematics effectively at different levels of formality, using a variety of representations of mathematical concepts and procedures. This course is especially appropriate for those students preparing to be elementary, early childhood, deaf and hard of hearing, or special education teachers.",1,"Reserved for School of Education Students only, elementary and early childhood majors, including Urban Education majors.  [RQ613]",Fall and Spring
MAT,1218,125,UGRD,Liberal Learning Domains,Quantitative Reasoning,MAT 125 - CALCULUS FOR BUSN & SOC SCIENCE,"A course intended for majors in business and the social sciences, and/or minors in statistics. Topics include differential calculus, integral calculus, and some linear algebra, with applications to areas of business and social science. Not for mathematics or science majors.",1,MAT 096 or MAT 119 or MAT 120 or an SAT math score >=630 or ACT score of 28 or higher or a score of 11 or higher on the CALC Placement test is a prerequisite. Reserved for the Schools of Business or the Humanities and the Social Sciences.  [RQ#6193],Fall and Spring
MAT,1218,127,UGRD,Liberal Learning Domains,Quantitative Reasoning,MAT 127 - CALCULUS A,"Provides students with a solid grounding in single-variable calculus.  The course is designed for students in the mathematical and  physical sciences. Topics include functions and limits, derivatives and differentiation rules, applications of derivatives, and an introduction to integrals and their applications.",1,MAT 120 or an SAT math score >=630 or ACT math score of 28 or higher is a prerequisite. [RQ5051],Fall and Spring
MAT,1218,128,UGRD,Liberal Learning Domains,Quantitative Reasoning,MAT 128 - CALCULUS B,A second course in calculus covering integral calculus and series.  The course will cover both the theoretical and applied aspects of calculus.,1,"MAT 127, or MAT 125 with the permission of the Department Chair, is a prerequisite. [RQ#5702]",Fall and Spring
MAT,1218,200,UGRD,Liberal Learning Domains,Quantitative Reasoning,MAT 200 - PROOF WRITING THROUGH DISCRETE MATHEMATICS,An introduction to proofs using topics from discrete mathematics. It is intended to be a first-year course for prospective mathematics majors.,1,MAT 127 is a prerequisite [RQ350],Fall and Spring
MAT,1218,205,UGRD,Liberal Learning Domains,Quantitative Reasoning,MAT 205 - LINEAR ALGEBRA: THEORY AND APPLICATIONS,"An introduction to vector spaces and systems of linear equations essential for the understanding of both pure and applied mathematics.  Selected topics include: systems of linear equations, matrices, linear transformations, linear independence, determinants, vector spaces, eigenvalues and eigenvectors, and orthogonality.  This course includes a lab component using MATLAB.",1,MAT 128 or  MAT 200 or CSC 270 is a prerequisite. [RQ5341],Fall and Spring
MAT,1218,229,UGRD,Liberal Learning Domains,Quantitative Reasoning,MAT 229 - MULTIVARIABLE CALCULUS,"Topics include: geometry of three dimensional space, derivatives of functions of several variables, integrals in dimension two and three and Stokes' theorem.",1,MAT 128 is a prerequisite [RQ376],Fall and Spring
MAT,1218,330,UGRD,Liberal Learning Domains,Quantitative Reasoning,MAT 330 - MATHEMATICAL BIOLOGY,"In this course, we will focus on building and analyzing dynamic mathematical models (models that study how processes change in time) to understand the behavior of different biological systems. This course will focus on a variety of topics in population biology, physiology and the biomedical sciences such as single and competing species models, pharmacokinetic models of drugs and toxins, enzyme reaction kinetics, epidemiology, infectious diseases and cancer. We will use mathematical tools like difference equations, differential equations, linear algebra and nonlinear analysis to study these biological processes. Further, computer software packages, such as MATLAB, will be used to implement these mathematical models in search of answers to biological questions. When possible, numerical simulations of the models will be run in MATLAB to compare model outputs to experimental data.",1,MAT 128 is a prerequisite & MAT 205 is a co-requisite.  [RG5775],Occasionally
MAT,1218,341,UGRD,Liberal Learning Domains,Quantitative Reasoning,MAT 341 - COMPUTATIONAL MATHEMATICS,"Computational Mathematics combines the beauty and logic of mathematics with computing. In Computational Mathematics, students will learn how to develop and implement mathematical algorithms that can be utilized to solve real-world problems in many disciplines. Much of the course content will draw on topics from earlier mathematics courses, but these topics will be covered from a computer solution point of view.",1,MAT200 and MAT205 are prerequsites; CSC220 or CSC250 is a prerequisite or a co-requisite.  [RQ#6137],Occasionally
MAT,1218,426,UGRD,Liberal Learning Domains,Quantitative Reasoning,MAT 426 - PARTIAL DIFFERENTIAL EQUATIONS,"The course is a mixture of theory and computation, with a focus on orthogonal functions and the associated classical theory. It begins with the study of the standard methods for determining  solutions to the classic equations from physics using Fourier Series and transform methods, and ends with more general equations where numerical approximations of solutions  will be necessary.",1,MAT 326 is a prerequisite.,Fall
MAT,1218,430,UGRD,Liberal Learning Domains,Quantitative Reasoning,MAT 430 - SEMINAR IN DYNAMICAL SYSTEMS,"This course is an introduction to the study of systems whose states change over time ¿ such systems are called dynamical systems. The subject of dynamical systems lies at the border of pure and applied mathematics, with concepts from many areas of theoretical mathematics (analysis, linear algebra, etc.) being used to study these systems as they arise in a broad range of fields, including physics, biology and chemistry. Three main types of dynamical systems will be studied in this class: discrete-time one dimensional maps, continuous-time one dimensional flows on lines and circles, and continuous-time two dimensional linear and nonlinear flows.",1,MAT 326 is a prerequisite.,Occasionally
MAT,1218,497,UGRD,Liberal Learning Domains,Quantitative Reasoning,MAT 497 - TOPICS IN SECONDARY MATHEMATICS FROM AN ADVANCED VIEWPOINT,"This course enables prospective mathematics teachers to explore and understand, from an advanced perspective, the mathematics that they will teach.  Important connections between college level mathematics and all levels of the K-12 curriculum will be emphasized. It is expected that students will have completed the prerequisite courses in which proofs were required and algebraic structures explored. The term ¿from an advanced viewpoint"" means that high school mathematical ideas are examined from a perspective appropriate for college mathematics majors and the course makes use of the knowledge and sophistication the student has gained in other courses.",1,"MTT380, MAT305,MAT351, & at least 1 other 300-level MAT course are prerequisites.  [RQ#6118]",Fall
MGT,1218,301,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",MGT 301 - ORGANIZATIONAL BEHAVIOR,"Provides an  in-depth examination of theory and research on individual and group processes (including attitudes, motivation, decision-making, communication, negotiation and leadership), as well as structural factors (including job and organizational design, and power relations) that shape the contemporary workplace.  Emphasis is on gaining a theoretical grasp of issues and problems and an understanding of the practical implications of the various theories of human behavior at work.  The purpose of this course is to help students develop frameworks for understanding organizational processes and learn how to apply such knowledge toward improving an organization¿s effectiveness and managing organizational change.",1,MGT 201 or PSY 267 are prerequisites [RQ293],Fall and Spring
MGT,1218,310,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives|Global",MGT 310 - CROSS-CULTURAL MANAGEMENT,"Integrated overview of the role of culture in conducting global business and the management issues influenced by differences in national and sub-national cultures.  Addresses how cultural proclivities inform employee motivation, organizational leadership, inter-personal communication, work-place conflicts and conflict resolution, and decision-making processes; how employees and managers can prepare for culture shock; and how firms can create a global mindset among their employees.",1,MGT 201 or PSY 267 are prerequisites [RQ293],Fall and Spring
MGT,1218,375,UGRD,Liberal Learning Domains,World Views & Ways of Knowing,MGT 375 - INNOVATION,"This course is designed to encourage students to create new business ideas that can change the world, incrementally or otherwise. It asks students to consider the importance of innovation in business, to study the creative process, and-as the centerpiece of the course-to draw on their learning from varied disciplines to create and make the case for new business ideas. The course is inherently interdisciplinary: students create and support ideas by connecting across varied disciplines both within the business school and from programs across the college curriculum. For example, students will draw on the business disciplines-including finance, marketing, management, economics, and laww, to consider the importance of innovation-to make the case for new ideas to investors, and to transform ideas into action. Beyond the business school, students will be invited to consider the: questioning methods of philosophy and applied ethics to deepen their search for problems to solve; observation methods from anthropology to identify opportunities and needs; methods of narrative from literary studies to create new and deeper meanings; and tools from social science to test and refine new ideas. As a result, the course is an especially good fit for the Interdisciplinary Business Program.",1,,Fall and Spring
MGT,1218,385,UGRD,Liberal Learning Domains,World Views & Ways of Knowing,MGT 385 - BUSINESS ETHICS AND CORPORATE SOCIAL RESPONSIBILITY,"This course will study the moral challenges of business.  We will examine the corporation, the demands and limits of the marketplace, and the leading accounts of ethical behavior.  These concepts will be applied to real-world ethical cases faced by business organizations, their leaders, employees, and stakeholders.  Students will be asked to reflect on their assumptions about business and its role in society, and how values can shape career choices and the trajectory of a business enterprise.",1,Reserved for Junior or higher standing,Fall and Spring
MKT,1218,450,UGRD,Writing Intensive,Writing Intensive,MKT 450 - MARKETING MANAGEMENT,"This capstone marketing course requires the student to take a strategic approach to marketing decision making.  Through cases and a simulation, the student will analyze situation data and recommend marketing strategies and tactics.  This course seeks to reinforce the students understanding of the role of the elements of the marketing mix through applications and exercises.",1,Reserved for Senior Marketing majors; MKT 300 and FIN 201 and MGT 201 are prerequisites [RQ491],Spring
MKT,1218,495,UGRD,Writing Intensive,Writing Intensive,MKT 495 - SENIOR THESIS,,1,Senior standing & MKT Specialization are prerequisites and Department consent is required.  [RQ#6115],"Fall, Spring and Summer"
MTT,1218,380,UGRD,Writing Intensive,Writing Intensive,MTT 380 - METHODS OF TEACHNG MATHEMATICS I,"This course is the first in a two-course sequence of professional courses for mathematics education majors.  Students will be introduced to national and state standards for K-12 mathematics and learn how to teach according to these standards.  Topics will include the use of manipulatives, technology in teaching mathematics and the investigation of standards-based curricula. These topics will be mostly situated in the context of middle school mathematics.",1,MAT 200 and MAT 205 and MAT 229 are prerequisites. [RQ768],Fall
MUS,1218,170,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",MUS 170 - COLLEGE CHOIR: NON MUSIC MAJORS,"Open to all students through successful audition by the director.  The ensemble rehearses and performs a variety of accompanied and unaccompanied, sacred and secular choral literature.",.25,,Fall and Spring
MUS,1218,175,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",MUS 175 - COLLEGE CHORALE NON MUSIC MAJORS,"Open to all students through successful audition by the director.  The class is designed for the musically advanced choral student.  The ensemble rehearses and performs a variety of accompanied and unaccompanied, sacred and secular choral literature.",.5,,Fall and Spring
MUS,1218,180,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",MUS 180 - WIND ENSEMBLE: NON MUSIC MAJORS,Study and performance of wind literature of the highest quality with emphasis upon high-performance standards.,.5,,Fall and Spring
MUS,1218,182,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",MUS 182 - COLLEGE ORCHESTRA-NON MUSIC MAJORS,Study and performance of orchestral literature of the highest quality with an emphasis on high performance standards.,.5,,Fall and Spring
MUS,1218,185,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",MUS 185 - CONCERT BAND: NON MUSIC MAJORS,Instrumental experience in performance of band literature.  Practical learning for students who have had considerable study and instrumental experience.,.25,,Fall and Spring
MUS,1218,245,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Literary, Visual & Performing Arts|Race & Ethnicity",MUS 245 - HISTORY OF JAZZ,"An introduction to jazz music through an examination of its content, history and cultural legacy. The course begins with the emergence of jazz out of early African-American musical forms, and considers the profound connection between the African-American experience and the development of jazz. It is an examination of how jazz evolved through artistic and technological innovations as well as through cultural, commercial and political forces. The course engages students in critical listening and research-based writing skills.",1,,Fall and Spring
MUS,1218,246,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives|Global",MUS 246 - MUSIC IN GLOBAL PERSPECTIVE,"This course is an introduction to the study of music in- and as culture. Students will study music cultures from throughout the world drawing on select Native American, African, African American, Latin American, Indian, Indonesian, and Japanese traditions.  Rather than offering a broad survey of ¿world musics,¿ however, this course is comprised of focused case studies that examine the experience of music in specific secular, spiritual, art, and popular contexts.  Students will acquire and refine basic musical knowledge and skills, including critical listening.  Each student will further develop research, writing, and critical thinking strategies through an individual semester ethnography project focusing on a music-culture with which they are relatively unfamiliar. MUS 246 is open to students in all majors; no prior music training is required.  Note that MUS 246 is required for music majors, who usually take it in the fall semester of the freshman year.",1,,Fall
MUS,1218,335,UGRD,Liberal Learning Domains,Quantitative Reasoning,MUS 335 - AUDIO SIGNAL PROCESSING,"In this course, students learn the basics of digital audio and how to synthesize sound using algorithms. We focus on generating, shaping, describing, and transforming musical sound. The Max programming environment allows us to model and build our simulations in software. We then apply our quantitative methods to musical activities such as composing, performing, improvising, analyzing, or teaching music in a K-12 classroom. By exploring the basic principles of audio and creating individual projects, students develop new ways of thinking about and making music. Satisfies the Liberal Learning Quantitative Reasoning requirement; also satisfies the Music Technology requirement for Music majors.",1,MUS 261 is a prerequisite; or by permission of instructor. [RQ220],Fall
MUS,1218,345,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",MUS 345 - ELECTRONIC MUSIC,"This course introduces students to electronic music studio techniques, including MIDI, sequencing, sound synthesis, sampling, mixing, and audio production. It also covers theoretical and historical developments in the field of electronic music, including a review of compositions, styles, and technologies. Students create their own musical compositions in the computer lab. Open to students of any major. Satisfies the Music Technology requirement for Music majors.",1,,Fall and Spring
MUS,1218,494,UGRD,Writing Intensive,Writing Intensive,MUS 494 - BACHELOR OF ARTS IN MUSIC CAPSTONE,"This course fulfills the Writing Intensive Capstone requirement for all Bachelor of Arts in Music majors.  Based on their individual degree path, including second majors/ minors/ concentrations and related interests, each student will pursue a project with the ultimate goal of producing an original scholarly and/or creative work with a substantial written component.  The Capstone course will meet once a week for the duration of the semester; learning activities include discussion of interdisciplinary writing, advanced research skills, and student-led discussions of individual projects.  Students will work in groups as well as one-on-one with peers and the instructor.",1,MUS 452 is a prerequisite and reserved for Junior Music Majors (B.A.).  [RQ#5465],Occasionally
NUR,1218,220,UGRD,Liberal Learning Civic Resp.,Community Based Learning,NUR 220 - WELLNESS PROMOTION AND DISEASE PREVENTION ACROSS THE LIFESPAN,"Open to non-majors with permission of the chairperson.   Addresses human activities that are directed toward sustaining, developing, and enhancing wellness and self-actualization at all stages of development and across the life span.  The determinants of health in individuals and families, and communities are a key concept of this course.  Topics include: concepts of health, wellness evaluation, introduction to teaching and learning theory, values clarification, and communication and facilitative interaction focused on wellness.  In addition, students discuss family systems theory; social environmental, and economic issues related to wellness promotion; and access to health care.  Specific interventions for lifestyle changes are discussed and include coping and stress management; health education; nutrition; social support; exercise and physical fitness; and issues related to smoking, alcohol, and other forms of substance abuse.  Opportunities for interactive and experiential learning are provided in the Nursing Clinical Laboratory.",1,"Reserved for Nursing BSN Students.  [RQ#6183]|NUR 110 is a prerequisite, & NUR 210 & NUR 230 are co-requisites. [RQ#6032]",Fall
PBH,1218,220,UGRD,Liberal Learning Civic Resp.,Community Based Learning,PBH 220 - WELLNESS PROMOTION AND DISEASE PREVENTION ACROSS THE LIFESPAN,"This course addresses human activities that are directed toward sustaining, developing, or enhancing wellness and self-actualization at all stages of development and across the life span. Topics include: concepts of health, wellness evaluation, introduction to teaching and learning theory, values clarification, and communication and facilitative interaction focused on wellness. In addition, students will discuss family systems theory, social, environmental, and economic issues related to wellness promotion and access to health care. An underlying theme in this course is wellness promotion of the student with a focus on the use of self in wellness promotion across the life span. Specific interventions for lifestyle changes will be discussed and include coping and stress management, health education, diet management and weight control, social support, exercise and physical fitness, and issues related to smoking, alcohol, and other forms of substance abuse. Opportunities for interactive and experiential learning are provided in Nursing Clinical Laboratory.  30 hours of community engaged learning",1,Reserved for Public Health majors. Department consent is required for non-majors. [RQ#6012],Fall
PBH,1218,240,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",PBH 240 - INTRODUCTION TO EPIDEMIOLOGY,"Epidemiology covers the basic principles of epidemiology e.g., study design, measures of association, biases and confounding variables, disease detection, and risk analysis. It emphasizes critical thinking, the limitations of current conceptual and methodological approaches in epidemiology, ethical and social justice considerations and socio-cultural aspects of public health, using examples from epidemiological studies carried out in the United States and internationally.",1,,Occasionally
PBH,1218,375,UGRD,Liberal Learning Civic Resp.,Global,PBH 375 - POPULATION APPROACHES TO WORLD HEALTH,"This course introduces students to population approaches to public health from a cross cultural perspective, looking at both local and global public health issues. Course material and assignments focus on core concepts of public health, responses to bio terrorism and war, detection and prevention of new and emerging infectious diseases, chronic disease, alternative medical and healing practices, health of vulnerable groups and public health personnel. The course emphasizes the impact of culture, social structure, economics and politics on the health and illness, health disparities and public health policies in both the developing and developed world. The global economy and international travel are viewed as public health issues.",1,,Fall and Spring
PBH,1218,401,UGRD,Liberal Learning Domains,Quantitative Reasoning,PBH 401 - RESEARCH METHODS FOR PUBLIC HEALTH,,1,STA 115 is a prerequisite.  [RQ#5912],"Fall, Spring and Summer"
PHL,1218,100,UGRD,Liberal Learning Domains,World Views & Ways of Knowing,PHL 100 - INTRODUCTION TO PHILOSOPHY,"A course that examines the fundamentals of philosophical argument, analysis and reasoning, as applied to a series of issues in logic, epistemology, metaphysics and ethics.  Topics covered may include: logical validity, theories of knowledge and belief, the nature of mind, the nature of reality, arguments for the existence of God, and theories of the nature of right and wrong.",1,,Fall and Spring
PHL,1218,120,UGRD,Liberal Learning Domains|Writing Intensive,World Views & Ways of Knowing|Writing Intensive,PHL 120 - INTRODUCTION TO LOGIC,"A course on the basic principles and techniques of correct reasoning in ordinary life and the sciences.  Study of the formal systems of sentence logic and predicate logic.  Translation of  natural language statements and arguments and analysis and evaluation of deductive arguments through the construction of proofs.  Focus particularly on the power and precision of the natural language with the aim of helping students increase their ability to think and write with creativity, precision and rigor.",1,,Fall and Spring
PHL,1218,135,UGRD,Liberal Learning Domains,World Views & Ways of Knowing,PHL 135 - CONTEMPORARY MORAL ISSUES,"A course that aims to familiarize students with basic concepts and theories in ethics, and with how they may be applied to a range of contemporary moral issues.  Topics addressed may include racism, sexism, abortion, euthanasia, cloning, capital punishment, our obligations to the disadvantaged, the treatment of non-human animals, just war, and the like. Students will be encouraged to learn from great thinkers of the past and of the present, to examine their own moral values and beliefs, and to take reasoned and informed stands on the issues treated.",1,,Fall and Spring
PHL,1218,201,UGRD,Liberal Learning Domains|Writing Intensive,World Views & Ways of Knowing|Writing Intensive,PHL 201 - HISTORY OF ANCIENT PHILOSOPHY,"A course tracing the development of philosophy in the West from its beginnings in 6th century B.C. Greece through the thought of Plato and Aristotle, especially focusing on questions concerning reality, knowledge, human nature, and the good life. Attention is also given to the influence of the Greek philosophers on the Western tradition to the present day.",1,One Philosophy course is a prerequisite; or by permission of instructor. [RQ5248],Fall
PHL,1218,265,UGRD,Liberal Learning Domains,World Views & Ways of Knowing,PHL 265 - ENVIRONMENTAL ETHICS,"A course providing a comprehensive overview of the key issues and arguments within the field of environmental ethics.  The course includes an examination of some basic issues in metaethics and normative ethical theory, and several kinds of ethical arguments for animal rights and environmental protection.  We will also study major environmental movements, such as deep ecology, social ecology, ecofeminism and the environmental justice movement, and will consider selected public policy issues such as habitat preservation, land-use management, or pollution abatement.",1,,Occasionally
PHL,1218,270,UGRD,Liberal Learning Domains,World Views & Ways of Knowing,PHL 270 - TOPICS IN PHILOSOPHY,"This is a Topics Course with no prerequisites, offered primarily for sophomores, juniors, and seniors.  It may not be appropriate for freshmen.",1,SH Sophomore & higher level,Occasionally
PHL,1218,370,UGRD,Liberal Learning Domains,World Views & Ways of Knowing,PHL 370 - SPECIAL TOPICS IN PHILOSOPHY,"Course examining a problem, text, philosopher, historical period, or other philosophical topic not covered in depth in regular courses. Topics will vary. May be repeated for credit with permission of the department.",1,One 200 level or higher Philosophy course is a prerequisite; or by permission of instructor. [RQ5249],Occasionally
PHL,1218,375,UGRD,Liberal Learning Domains,World Views & Ways of Knowing,PHL 375 - LAW AND ETHICS,"A seminar on the moral foundations of the law and the relation between law and ethics. In that connection, we explore utilitarianism and objections to that theory grounded in considerations of equality and in privacy. Readings for the course will come from both traditional and contemporary sources in moral philosophy and from Supreme Court and other court opinions.",1,One 200 level or higher Philosophy courses are prerequisites; or by permission of instructor. [RQ#6406],Course is offered once a year.
PHL,1218,391,UGRD,Liberal Learning Domains,World Views & Ways of Knowing,PHL 391 - INDEPENDENT STUDY IN PHILOSOPHY,"Independent study of a particular philosophical topic, in close consultation with a member of the department.",.25 - 2,Two 200 level or higher Philosophy courses are prerequisites; or by permission of instructor. [RQ5099],Fall and Spring
PHY,1218,120,UGRD,Liberal Learning Domains,Natural Science|Natural Science with Lab,PHY 120 - INTRODUCTION TO GEOLOGY,"Geological concepts, principles, and processes as they relate to the relationship between people and their environment are emphasized.  Topics include: minerals and rocks, components of the hydrologic cycle, dynamic earth processes, and regional studies.",1,,Fall and Spring
PHY,1218,121,UGRD,Liberal Learning Domains,Natural Science|Natural Science with Lab,PHY 121 - PRINCIPLES OF PHYSICS,"Centered around the basic laws of physics, emphasis is on a conceptual understanding of the natural world regarding concepts which comprise it and their connections and relationships to each other.  Topics include force, motion, momentum, energy and gravitation.  Laboratory emphasis is given through hands-on activities.",1,,Fall
PHY,1218,162,UGRD,Liberal Learning Domains,Natural Science|Natural Science with Lab,PHY 162 - ASTRONOMY: PLANETS,"Topics include: the night sky; lunar and solar eclipses; the historical development of astronomy; gravity and motion; the nature of light; the planets, moons and smaller bodies in our solar system; planets around other stars; the possibility of life elsewhere in the universe.  Computational and observational laboratories, along with extensive use of our updated planetarium are incorporated to improve conceptual understanding.  PHY 162 satisfies the Natural Science with Laboratory requirement.  Some nighttime observing is required.",1,,Fall and Spring
PHY,1218,163,UGRD,Liberal Learning Domains,Natural Science|Natural Science with Lab,PHY 163 - ASTRONOMY: STARS & THE UNIVERSE,"Topics include: the nature of light; the nature and evolution of stars, including the Sun; neutron stars and black holes; stellar clusters; the Milky Way; types of galaxies; galaxy formation and evolution; active galaxies; dark matter; the expanding and accelerating universe; dark energy; the fate of the universe.   Computational and observational laboratories, along with extensive use of our updated planetarium are incorporated to improve conceptual understanding.  PHY 163 satisfies the Natural Science with Laboratory requirement.  Some nighttime observing is required.",1,Knowledge of High School Algebra is a prerequisite.  [RQ#6122],Fall and Spring
PHY,1218,201,UGRD,Liberal Learning Domains,Natural Science|Natural Science with Lab,PHY 201 - GENERAL PHYSICS I,"Calculus-based introductory physics, first course of a two semester sequence. Topics covered include motion, Newton's Laws, Conservation principles, rotational motion and oscillatory behavior.  Problem solving is an integral part of the course. Conceptual understanding is reinforced using interactive computer-based techniques, demonstrations, and laboratory experiences.",1,MAT 125 or MAT 127 are a Prerequisite or a Corequisite.[RQ772],Fall and Spring
PHY,1218,202,UGRD,Liberal Learning Domains,Natural Science|Natural Science with Lab,PHY 202 - GENERAL PHYSICS II,"Second part of two semester calculus-based introductory course in electricity and magnetism, optics,and topics in modern physics.  The important laws of physics in these areas and problem solving are emphasized.  Problem solving is an integral part of the course.  Conceptual understanding is reinforced using interactive computer-based techniques, demonstrations, and laboratory experiences.",1,PHY 201 and MAT 127 are prerequisites. MAT 128 is strongly recommended as a corequisite.[RQ773],Fall and Spring
PHY,1218,203,UGRD,Liberal Learning Domains,Natural Science,PHY 203 - PHYSICS I FOR PHYSICISTS,"This is an accelerated calculus-based introductory physics course, the first of a two-semester sequence for Physics majors and Honors students.  Topics covered include linear and circular motion, Newton¿s Laws, linear and angular momentum, conservation of energy, gravitation, oscillations, and fluids.  Conceptual understanding is reinforced using extended laboratory experiments, demonstrations, and homework assignments.",1,MAT 127 is a prerequisite or a co-requisite. [RQ#5872],Fall
PHY,1218,321,UGRD,Liberal Learning Domains,Natural Science,PHY 321 - MODERN PHYSICS,"Study of modern physics concepts pertaining to the microscopic universe, thereby giving the student a better understanding of the macroscopic universe. Fundamental concepts of modern physics are covered, including topics in special theory of relativity, wave-particle duality, quantization of energy, Schrodinger equation, potential wells, and atomic physics.  Experimental basis for modern physics is also discussed.",1,MAT 128 and PHY 202 are prerequisites. [RQ777],Fall
PHY,1218,451,UGRD,Writing Intensive,Writing Intensive,PHY 451 - ADVANCED EXPERIMENTAL PHYSICS,"This is a course in experimental physics at an intermediate to advanced undergraduate level.  Experiments include specific charge of the electron, nuclear radioactivity, quantum nature of light, optical rotation in solids, measurement of the gravitational constant, phase-sensitive electronic detection, optical polarization and compensation, measurement of electron spin, and measurement of magnetic torque.  Students will work in teams to complete approximately 5 experiments over the course of the semester.  Some of the learning goals for the course are to become familiar with common experimental techniques, proper laboratory documentation, and error propagation and analysis.  Students will perform background reading and pre-lab assignments and design and construct each experiment.  In addition to daily writing in a laboratory notebook, students will also produce a final paper on one of their experiments; this course is therefore an upper-level writing intensive course that can serve as a capstone course.  Note that this course has an attendance requirement of 12 hours per week in the laboratory.",1,"PHY 306, and PHY 321, and PHY 311 or PHY 411, and WRI 102 or waiver, or permission of instructor are prerequisites.  [RQ#5935]",Spring
PHY,1218,493,UGRD,Writing Intensive,Writing Intensive,PHY 493 - INDEPENDENT RESEARCH II,"This writing-intensive experience will consist of the student, in collaboration with a faculty mentor, studying an advanced research topic.  A scientific talk and written research-quality paper will be submitted to the department at the end of the semester.",.25 - 2,Reserved for Seniors and with permission of the instructor.  [RQ476],Fall and Spring
POL,1218,110,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",POL 110 - AMERICAN GOVERNMENT,"Examines the strengths and weaknesses, problems and promise of representative democracy in the United States.  Surveys the relationships of citizens to Congress, the president and the courts through political parties, elections, interest groups, and the media.  Considers the constitutional framework of government and the rights of the individual against governmental intrusion.",1,,Fall and Spring
POL,1218,130,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives|Global",POL 130 - INTERNATIONAL RELATIONS,"An examination of contemporary patterns of international interaction and their historic roots with attention to competing theoretical perspectives.  Topics studied include foreign policy, international law and organization, and international political economy.",1,,Fall and Spring
